Tokens,Tag
brown,provide_info_color_brown
yes,provide_info_yes
no,provide_info_no
okay,provide_info_yes
black,provide_info_color_black
any,provide_info_anything 
any color would do,provide_info_anything 
anything,provide_info_anything 
any type is fine,provide_info_anything 
any price range,provide_info_anything 
blue,provide_info_color_blue
preferably black,provide_info_color_black
preferably brown ,provide_info_color_brown
correct,provide_info_yes
i want to shop few shoes boots in particular ,provide_info_category_boots 
i would go with dark brown or grey,provide_info_color_brown
you are right,provide_info_yes
yeah,provide_info_yes
yup,provide_info_yes
yep,provide_info_yes
that's right,provide_info_yes
sure,provide_info_yes
preferably blue,provide_info_color_blue
loafers,provide_info_category_loafers
sandals,provide_info_category_sandals
boots,provide_info_category_boots 
i want cheap ones,provide_info_cost_cheap
cheap,provide_info_cost_cheap
moderate price please,provide_info_cost_moderate
I prefer a moderate price range ,provide_info_cost_moderate
moderate,provide_info_cost_moderate
Show me expensive shoes,provide_info_cost_expensive
expensive,provide_info_cost_expensive
can you show me sandals,provide_info_category_sandals
I want blue boots,provide_info_color_blue
do you have loafers,provide_info_category_loafers
do you have sandals,provide_info_category_sandals
can you show boots ,provide_info_category_boots 
all,provide_info_anything
any color,provide_info_anything
any type,provide_info_anything
any price range,provide_info_anything
nope,provide_info_no
nah,provide_info_no
that's not what i am looking for,provide_info_no
that's not what i asked for,provide_info_no
that's not what i said,provide_info_no
that's not what i want,provide_info_no
i need to make some changes,provide_info_no
the color is wrong,provide_info_no
the shoe type is wrong,provide_info_no
the cost preference is wrong,provide_info_no
i want black shoes,provide_info_color_black
Plain black,provide_info_color_black
i prefer black,provide_info_color_black
i want to go with black,provide_info_color_black
i will go with black,provide_info_color_black
black may be,provide_info_color_black
i am looking for black shoes,provide_info_color_black
black ones please,provide_info_color_black
i want blue shoes,provide_info_color_blue
i prefer blue,provide_info_color_blue
i want to go with blue ,provide_info_color_blue
i will go with blue,provide_info_color_blue
blue ones please,provide_info_color_blue
i am looking for blue shoes,provide_info_color_blue
blue may be,provide_info_color_blue
brown ones please,provide_info_color_brown
i want brown shoes,provide_info_color_brown
dark brown,provide_info_color_brown
i prefer brown,provide_info_color_brown
i want to go with brown,provide_info_color_brown
i will go with brown,provide_info_color_brown
brown may be,provide_info_color_brown
i am looking for brown shoes,provide_info_color_brown
inexpensive,provide_info_cost_cheap
i am looking for cheap ones,provide_info_cost_cheap
i prefer cheap shoes,provide_info_cost_cheap
cheap sounds good,provide_info_cost_cheap
lets go for cheap,provide_info_cost_cheap
show me cheap shoes,provide_info_cost_cheap
i will go with expensive,provide_info_cost_expensive
i want expensive ones,provide_info_cost_expensive
i am looking for expensive ones,provide_info_cost_expensive
i prefer expensive shoes,provide_info_cost_expensive
expensive sounds good,provide_info_cost_expensive
i am fine with expensive ones,provide_info_cost_expensive
show me moderately priced shoes,provide_info_cost_moderate
affordable,provide_info_cost_moderate
i prefer moderately priced shoes,provide_info_cost_moderate
moderate will be good,provide_info_cost_moderate
lets go for moderate,provide_info_cost_moderate
i am looking for boots,provide_info_category_boots 
show me boots,provide_info_category_boots 
I want boots,provide_info_category_boots 
gum boots,provide_info_category_boots 
black boots,provide_info_category_boots 
i want some sexy boots,provide_info_category_boots 
i want a pair of boots,provide_info_category_boots 
Loafers. I want loafers.,provide_info_category_loafers
"Ooooo, I'd like some loafers",provide_info_category_loafers
 I want some comfy loafers,provide_info_category_loafers
I'm looking for some nice loafers,provide_info_category_loafers
I want a pair of loafers,provide_info_category_loafers
I would like some loafers please,provide_info_category_loafers
 I think I want some loafers,provide_info_category_loafers
I want to buy a pair of loafers,provide_info_category_loafers
I want some peep toe sandals,provide_info_category_sandals
I would like some sandals,provide_info_category_sandals
I am looking to buy a pair of sandals today,provide_info_category_sandals
I want some nice sandals,provide_info_category_sandals
I want to buy a pair of sandals,provide_info_category_sandals
I think I want some sandals today,provide_info_category_sandals
I need some sandals ,provide_info_category_sandals
 a pair of sandals please,provide_info_category_sandals
i want shoes,provide_info_NA
i am looking for a pair of shoes ,provide_info_NA
find me stilettos,provide_info_NA
do you have heels,provide_info_NA
what colors do you have,provide_info_NA
one with straps around your ankles,provide_info_NA
sports,provide_info_NA
can u show me some pumps ,provide_info_NA
what are the types available,provide_info_NA
leather shoes,provide_info_NA
what shoes do u have,provide_info_NA
what do u mean by type,provide_info_NA
